date,region,product_category,sales_rep,units_sold,revenue,profit,customer_segment
2024-01-05,North,Electronics,Alice,120,45600,12800,Enterprise
2024-01-12,South,Furniture,Bob,45,18900,4200,SMB
2024-01-18,East,Electronics,Carol,98,37240,10400,Consumer
2024-01-25,West,Clothing,Dave,210,15750,5100,Consumer
2024-02-03,North,Furniture,Alice,62,26040,5800,Enterprise
2024-02-10,South,Electronics,Bob,145,55100,15400,Enterprise
2024-02-17,East,Clothing,Carol,188,14100,4600,SMB
2024-02-24,West,Electronics,Dave,112,42560,11900,Consumer
2024-03-02,North,Clothing,Alice,230,17250,5600,Consumer
2024-03-09,South,Furniture,Bob,78,32760,7300,Enterprise
2024-03-16,East,Electronics,Carol,160,60800,17000,Enterprise
2024-03-23,West,Furniture,Dave,52,21840,4900,SMB
2024-04-06,North,Electronics,Alice,134,50920,14300,Enterprise
2024-04-13,South,Clothing,Bob,195,14625,4800,Consumer
2024-04-20,East,Furniture,Carol,69,28980,6500,SMB
2024-04-27,West,Electronics,Dave,121,45980,12900,Enterprise
2024-05-04,North,Clothing,Alice,245,18375,6000,Consumer
2024-05-11,South,Electronics,Bob,138,52440,14700,Enterprise
2024-05-18,East,Clothing,Carol,202,15150,4900,Consumer
2024-05-25,West,Furniture,Dave,84,35280,7900,Enterprise
2024-06-01,North,Electronics,Alice,155,58900,16500,Enterprise
2024-06-08,South,Furniture,Bob,91,38220,8600,SMB
2024-06-15,East,Electronics,Carol,178,67640,18900,Enterprise
2024-06-22,West,Clothing,Dave,225,16875,5500,Consumer
2024-07-06,North,Furniture,Alice,73,30660,6900,SMB
2024-07-13,South,Electronics,Bob,162,61560,17200,Enterprise
2024-07-20,East,Clothing,Carol,218,16350,5300,Consumer
2024-07-27,West,Electronics,Dave,144,54720,15300,Enterprise
2024-08-03,North,Clothing,Alice,258,19350,6300,Consumer
2024-08-10,South,Furniture,Bob,98,41160,9200,Enterprise
2024-08-17,East,Electronics,Carol,191,72580,20300,Enterprise
2024-08-24,West,Furniture,Dave,65,27300,6100,SMB
2024-09-07,North,Electronics,Alice,170,64600,18100,Enterprise
2024-09-14,South,Clothing,Bob,212,15900,5200,Consumer
2024-09-21,East,Furniture,Carol,82,34440,7700,SMB
2024-09-28,West,Electronics,Dave,155,58900,16500,Enterprise
2024-10-05,North,Clothing,Alice,270,20250,6600,Consumer
2024-10-12,South,Electronics,Bob,175,66500,18600,Enterprise
2024-10-19,East,Clothing,Carol,235,17625,5700,Consumer
2024-10-26,West,Furniture,Dave,107,44940,10100,Enterprise
2024-11-02,North,Electronics,Alice,188,71440,20000,Enterprise
2024-11-09,South,Furniture,Bob,115,48300,10800,SMB
2024-11-16,East,Electronics,Carol,205,77900,21800,Enterprise
2024-11-23,West,Clothing,Dave,248,18600,6100,Consumer
2024-12-07,North,Furniture,Alice,94,39480,8800,Enterprise
2024-12-14,South,Electronics,Bob,193,73340,20500,Enterprise
2024-12-21,East,Clothing,Carol,260,19500,6400,Consumer
2024-12-28,West,Electronics,Dave,178,67640,18900,Enterprise
